,역이름,위도,경도,게스트_선호,게스트_불호
119,Malakoff – Rue Étienne Dolet,48.8678161,2.3842635,63,55
120,Porte de Bagnolet,48.8639575,2.4079381,20,7
121,Créteil – L'Échat,48.7961907,2.4489957,0,0
122,Porte de Pantin,48.8886219,2.3928498,14,12
123,Jasmin,,,0,0
124,Guy Môquet,48.89280549999999,2.3277735,69,71
125,La Chapelle,48.8932384,2.3634289,11,17
126,Chardon-Lagache,48.8439079,2.2656137,17,14
127,Saint-Denis – Université,48.9454755,2.363824,0,0
128,Jourdain,48.875206,2.389512,65,47
129,Jussieu,48.8460908,2.3548026,46,45
130,Mairie de Clichy,48.902814,2.3048742,0,0
131,Les Agnettes,48.9231631,2.2858355,0,0
132,Louvre – Rivoli,48.8607149,2.3409635,64,54
133,Aubervilliers – Front Populaire,48.9064999,2.3666255,0,0
134,Ménilmontant,48.8699788,2.3946146,66,38
135,Saint-Placide,48.8467875,2.3269489,40,35
136,Tuileries,48.8634916,2.3274943,31,21
137,Plaisance,48.8305801,2.3192651,34,31
138,Félix Faure,48.842744,2.291699,42,34
139,Carrefour Pleyel,48.9204725,2.344087,0,0
140,Ségur,48.84711,2.30733,28,40
141,Notre-Dame de Lorette,48.8762321,2.3389057,88,92
142,Porte de la Chapelle,48.896748,2.3639939,5,9
143,Miromesnil,48.8735618,2.314346,32,44
144,Saint-Sulpice,48.85098139999999,2.3350051,61,78
145,Lamarck – Caulaincourt,48.88959999999999,2.338511,153,62
146,Brochant,48.8906332,2.3201303,70,73
147,Pyrénées,48.8739787,2.3843433,60,46
148,Invalides,48.8593608,2.3138127,26,20
149,Créteil – Université,48.788159,2.4436509,0,0
150,Gare d'Austerlitz,48.8416387,2.3661971,11,9
151,Place des Fêtes,48.8771683,2.3940824,41,39
152,Pasteur,48.8422208,2.3134302,22,42
153,Croix de Chavaux,48.8583335,2.436173,0,0
154,Simplon,48.89365799999999,2.347936,73,69
155,Les Halles,48.8623348,2.3447356,147,135
156,Bagneux – Lucie Aubrac,48.80356,2.31743,0,0
157,Marcel Sembat,48.833668,2.243716,0,0
158,Couronnes,48.869274,2.380155,86,70
159,Odéon,48.84985959999999,2.3386921,75,81
160,Chemin Vert,48.8601618,2.3781543,122,100
161,Créteil – Préfecture,48.790329,2.4531917,0,0
162,République,48.8676635,2.3640304,138,134
163,Vavin,48.8422317,2.3288926,52,30
164,Bérault,48.8402494,2.4280177,0,0
165,Saint-Michel,48.8535025,2.343778,75,91
166,Porte de Clignancourt,48.89969199999999,2.3431282,17,8
167,Rambuteau,48.861913,2.3505248,193,194
168,Goncourt,48.8699995,2.370801,98,76
169,Rue de la Pompe,48.8653712,2.2791121,41,31
170,Mairie de Montreuil,48.8623387,2.4412284,0,0
171,Havre – Caumartin,48.8736697,2.3272252,47,54
172,Maisons-Alfort – Les Juilliottes,48.8040397,2.4444935,0,0
173,Pont de Neuilly,48.8848172,2.2674317,0,0
174,Porte de Saint-Cloud,48.835873,2.2607117,12,8
175,Porte de Clichy,48.8951436,2.3188421,35,37
176,Blanche,48.8803754,2.3314177,74,82
177,La Défense – Grande Arche,48.8925978,2.2361121,0,0
178,Franklin D. Roosevelt,48.86919,2.30997,25,61
179,Strasbourg – Saint-Denis,48.8728569,2.3544425,148,191
180,Duroc,48.846834,2.316479,26,35
181,Malakoff – Plateau de Vanves,48.8225387,2.2985046,0,0
182,Les Sablons,48.880936,2.272485,0,0
183,Gambetta,48.8646143,2.3987703,43,15
184,Bobigny – Pablo Picasso,48.90676999999999,2.449361,0,0
185,Montgallet,48.8435214,2.3877844,20,17
186,Pernety,48.8337867,2.3178907,28,40
187,Télégraphe,48.8729729,2.4024646,42,26
188,Philippe Auguste,48.8583465,2.3899226,45,46
189,Hoche,48.8761879,2.3005222,32,57
190,Barbès – Rochechouart,48.8880788,2.3496578,111,119
191,Notre-Dame des Champs,48.8477427,2.328309,35,29
192,Maraîchers,48.852675,2.405846,34,25
193,Porte d'Orléans,48.8211884,2.3256938,12,17
194,Vaugirard,48.8426159,2.2924372,44,33
195,Saint-François-Xavier,48.8508785,2.3138696,15,17
196,Charles Michels,48.846566,2.286594,51,40
197,Rue Saint-Maur,48.8659608,2.3770686,115,81
198,Anatole France,48.8918009,2.285274,0,0
199,Anvers,48.8828912,2.3440843,166,126
200,Courcelles,48.8801952,2.3074469,15,22
201,Louise Michel,48.8575475,2.3513765,131,105
202,Réaumur – Sébastopol,48.86618,2.351829,222,351
203,Charenton – Écoles,48.8215862,2.4140602,0,0
204,Falguière,48.8404814,2.3128988,26,29
205,Jaurès,48.8820163,2.3761334,36,36
206,Cardinal Lemoine,48.846633,2.351576,70,61
207,Argentine,48.8757394,2.2889741,53,46
208,Château Rouge,48.8873337,2.3494494,106,123
209,Michel-Ange – Auteuil,48.847925,2.264208,25,18
210,Bastille,48.8532607,2.3696995,85,82
211,École Vétérinaire de Maisons-Alfort,48.8149525,2.4218345,0,0
212,Rue du Bac,48.8554648,2.3250388,41,23
213,Gare de Lyon,48.84430380000001,2.3743773,16,24
214,Belleville,48.8728179,2.389461,70,44
