,역이름,위도,경도,게스트_선호,게스트_불호
121,Whitechapel,51.51902202,-0.059154123,13,58
122,Bow Road,51.52639287,-0.02358427,7,8
123,St. John's Wood,51.53469852,-0.172545248,5,1
124,Canada Water,51.49740822,-0.048372238,9,8
125,Bermondsey,51.49718984,-0.062745893,6,8
126,Canary Wharf,51.50291749,-0.016134819,14,6
127,Chiswick Park,51.49415785,-0.266981606,7,4
128,Wimbledon Park,51.43353749,-0.19749098,6,2
129,Southfields,51.4445635,-0.205058529,12,4
130,Seven Sisters,51.58289546,-0.070894139,6,14
131,Blackhorse Road,51.58633801,-0.040174342,4,2
132,Tottenham Hale,51.58754655,-0.058547162,6,5
133,Brent Cross,51.57616797,-0.212185251,6,4
134,Golders Green,51.57178437,-0.192420671,5,0
135,South Ealing,51.50039136,-0.305919519,10,2
136,North Ealing,51.51697561,-0.287236576,3,2
137,Park Royal,51.52597425,-0.282378071,0,0
138,Hanger Lane,51.52968038,-0.291095909,4,1
139,North Acton,51.52310534,-0.258167978,4,6
140,Leyton,51.55609689,-0.00386474,4,8
141,Bromley-by-Bow,51.52424987,-0.009841042,7,3
142,Plaistow,51.53072137,0.018612643,0,3
143,Upton Park,51.53487026,0.036836325,2,7
144,Turnpike Lane,51.58975112,-0.101359413,3,3
145,Wood Green,51.5969712,-0.108246806,10,1
146,Bounds Green,51.60656487,-0.122731021,10,1
147,West Ham,51.52776913,0.00590508,0,2
148,Walthamstow Central,51.58261626,-0.019895332,12,4
149,Ealing Broadway,51.51449777,-0.299418497,8,1
150,Acton Town,51.50213702,-0.278432824,9,2
151,Ealing Common,51.50903565,-0.286555479,3,4
152,South Wimbledon,51.41446924,-0.191711278,3,3
153,Northfields,51.49914634,-0.311409865,7,1
154,Harlesden,51.53619355,-0.256997378,0,1
155,Kew Gardens,51.47648632,-0.283453589,11,3
156,Gunnersbury,51.49123204,-0.273547129,7,1
157,North Greenwich,51.50002099,0.005908784,3,2
158,Canning Town,51.51360991,0.009568884,14,8
159,Willesden Green,51.54886838,-0.221119357,3,17
160,Colliers Wood,51.41763979,-0.176460893,6,6
161,Tooting Broadway,51.42715702,-0.166791248,8,2
162,Tooting Bec,51.4353811,-0.15763366,7,0
163,Balham,51.44310998,-0.151090206,8,7
164,Hendon Central,51.58267136,-0.224748399,3,3
165,Wimbledon,51.42091587,-0.204921053,7,0
166,Turnham Green,51.494448,-0.252958803,5,4
167,Neasden,51.5539234,-0.24957656,4,2
168,Dollis Hill,51.55145847,-0.237445148,6,3
169,Stonebridge Park,51.54368887,-0.27487576,1,0
170,Willesden Junction,51.5318981,-0.242978972,8,1
171,East Finchley,51.58665344,-0.163438627,1,0
172,Highgate,51.577342,-0.144860652,1,5
173,West Acton,51.51747345,-0.279364414,2,0
174,Stratford,51.54094802,-0.002182514,6,3
175,Hainault,51.60313737,0.095143844,1,0
176,Grange Hill,51.61269646,0.093957755,0,0
177,Colindale,51.59494713,-0.248341905,10,2
178,Burnt Oak,51.60233699,-0.262398845,1,3
179,Mill Hill East,51.60773582,-0.208460194,1,0
180,Finchley Central,51.60043321,-0.190951925,1,0
181,Sudbury Hill,51.55646384,-0.335039246,2,1
182,Sudbury Town,51.55030341,-0.314159662,1,3
183,Alperton,51.54022715,-0.298361133,0,1
184,Arnos Grove,51.61595478,-0.131434823,0,2
185,Southgate,51.6317626,-0.126150933,1,1
186,Perivale,51.53624702,-0.32183979,3,0
187,Greenford,51.54208841,-0.34492109,1,0
188,Snaresbrook,51.58017276,0.023019902,6,0
189,Leytonstone,51.56781496,0.009807678,7,3
190,Wanstead,51.57509659,0.030247766,4,1
191,Redbridge,51.5757446,0.047039301,5,6
192,Gants Hill,51.57602949,0.067825538,2,0
193,South Woodford,51.59138934,0.028990141,3,0
194,Newbury Park,51.57519974,0.091554903,1,3
195,Barkingside,51.58519895,0.090259547,0,0
196,Fairlop,51.59505439,0.092688126,0,0
197,Woodford,51.60635963,0.035640856,1,1
198,Roding Valley,51.61657815,0.045340184,0,0
199,Chigwell,51.61715195,0.077229167,0,0
200,East Ham,51.5388975,0.054454908,2,3
201,Upney,51.53784406,0.103187503,1,0
202,Barking,51.53937511,0.081813552,6,4
203,Morden,51.40201673,-0.193160282,1,0
204,Hounslow Central,51.470809,-0.364716069,2,4
205,Hounslow East,51.47275219,-0.3547554,0,3
206,Osterley,51.48073359,-0.350640896,1,1
207,Boston Manor,51.494711,-0.32401176,1,0
208,Wembley Central,51.55177912,-0.295237517,5,5
209,North Wembley,51.56189247,-0.302293996,0,0
210,Richmond,51.46260595,-0.300084253,3,2
211,Preston Road,51.57151381,-0.293539223,2,0
212,Wembley Park,51.56325938,-0.278458638,9,3
213,Kingsbury,51.58414203,-0.277052309,0,1
214,Queensbury,51.59369962,-0.284629817,2,0
215,South Kenton,51.56971265,-0.306785037,0,0
216,Kenton,51.58111281,-0.315140189,1,1
217,Woodside Park,51.61758971,-0.183907004,2,0
218,West Finchley,51.60898928,-0.186738929,1,1
219,Totteridge & Whetstone,51.63009248,-0.177599794,1,2
220,Northwick Park,51.57797585,-0.316478653,1,2
221,Becontree,51.53983401,0.128978641,0,0
222,Dagenham Heathway,51.54110645,0.149158377,2,1
223,Buckhurst Hill,51.62548342,0.048455336,0,0
224,Edgware,51.61311251,-0.273183711,3,2
225,Cockfosters,51.65103526,-0.147553187,4,0
226,Oakwood,51.64683948,-0.129657109,0,0
227,Ruislip Gardens,51.56027575,-0.409140537,1,0
228,South Ruislip,51.55635983,-0.39728854,0,3
