역이름,위도,경도
Les Halles,48.8623348,2.3447356
Bagneux – Lucie Aubrac,48.80356,2.31743
Marcel Sembat,48.833668,2.243716
Couronnes,48.869274,2.380155
Odéon,48.84985959999999,2.3386921
Chemin Vert,48.8601618,2.3781543
Créteil – Préfecture,48.790329,2.4531917
République,48.8676635,2.3640304
Vavin,48.8422317,2.3288926
Bérault,48.8402494,2.4280177
Saint-Michel,48.8535025,2.343778
Porte de Clignancourt,48.89969199999999,2.3431282
Rambuteau,48.861913,2.3505248
Goncourt,48.8699995,2.370801
Rue de la Pompe,48.8653712,2.2791121
Mairie de Montreuil,48.8623387,2.4412284
Havre – Caumartin,48.8736697,2.3272252
Maisons-Alfort – Les Juilliottes,48.8040397,2.4444935
Pont de Neuilly,48.8848172,2.2674317
Porte de Saint-Cloud,48.835873,2.2607117
Porte de Clichy,48.8951436,2.3188421
Blanche,48.8803754,2.3314177
La Défense – Grande Arche,48.8925978,2.2361121
Franklin D. Roosevelt,48.86919,2.30997
Strasbourg – Saint-Denis,48.8728569,2.3544425
Duroc,48.846834,2.316479
Malakoff – Plateau de Vanves,48.8225387,2.2985046
Les Sablons,48.880936,2.272485
Gambetta,48.8646143,2.3987703
Bobigny – Pablo Picasso,48.90676999999999,2.449361
Montgallet,48.8435214,2.3877844
Pernety,48.8337867,2.3178907
Télégraphe,48.8729729,2.4024646
Philippe Auguste,48.8583465,2.3899226
Hoche,48.8761879,2.3005222
Barbès – Rochechouart,48.8880788,2.3496578
Notre-Dame des Champs,48.8477427,2.328309
Maraîchers,48.852675,2.405846
Porte d'Orléans,48.8211884,2.3256938
Vaugirard,48.8426159,2.2924372
Saint-François-Xavier,48.8508785,2.3138696
Charles Michels,48.846566,2.286594
Rue Saint-Maur,48.8659608,2.3770686
Anatole France,48.8918009,2.285274
Anvers,48.8828912,2.3440843
Courcelles,48.8801952,2.3074469
Louise Michel,48.8575475,2.3513765
Réaumur – Sébastopol,48.86618,2.351829
Charenton – Écoles,48.8215862,2.4140602
Falguière,48.8404814,2.3128988
Jaurès,48.8820163,2.3761334
Cardinal Lemoine,48.846633,2.351576
Argentine,48.8757394,2.2889741
Château Rouge,48.8873337,2.3494494
Michel-Ange – Auteuil,48.847925,2.264208
Bastille,48.8532607,2.3696995
École Vétérinaire de Maisons-Alfort,48.8149525,2.4218345
Rue du Bac,48.8554648,2.3250388
Gare de Lyon,48.84430380000001,2.3743773
Belleville,48.8728179,2.389461
Porte de Montreuil,48.8536,2.41095
Esplanade de la Défense,48.8880944,2.2499818
Malesherbes,48.8798303,2.3138121
Wagram,48.8806652,2.3000451
Sèvres – Babylone,48.85149699999999,2.3266063
La Tour-Maubourg,48.8580658,2.3100006
Javel – André Citroën,48.8460538,2.2777049
Porte de Charenton,48.8330809,2.401726
Stalingrad,48.8833537,2.3692711
Michel Bizot,48.8371989,2.4023741
Voltaire,48.8587917,2.331602
Châtillon – Montrouge,48.8157655,2.3160079
Sentier,48.86919959999999,2.3458421
Cité,48.8548825,2.3474928
Bobigny – Pantin – Raymond Queneau,48.8953859,2.425283
Gaîté,48.8383865,2.3224865
Temple,48.8634991,2.3590784
Mairie de Montrouge,48.818768,2.3204536
Buzenval,48.85175700000001,2.401347
